,0
0,if
1,few
2,that
3,haven
4,too
5,not
6,some
7,having
8,shan't
9,where
10,them
11,nor
12,.
13,yourself
14,through
15,now
16,itself
17,of
18,their
19,+
20,up
21,shouldn
22,he
23,!
24,aren
25,hers
26,#
27,~
28,own
29,ll
30,me
31,a
32,:
33,our
34,)
35,they
36,does
37,ourselves
38,from
39,mustn't
40,been
41,again
42,how
43,that'll
44,won't
45,over
46,in
47,such
48,we
49,until
50,being
51,will
52,should
53,needn
54,on
55,'
56,were
57,_
58,only
59,hadn
60,so
61,hello
62,wouldn
63,him
64,are
65,<
66,and
67,same
68,is
69,shouldn't
70,ve
71,&
72,any
73,whom
74,""""
75,while
76,both
77,should've
78,she
79,off
80,re
81,yourselves
82,wasn't
83,[
84,other
85,his
86,m
87,than
88,mightn
89,doing
90,i
91,|
92,it's
93,about
94,more
95,most
96,those
97,y
98,@
99,hasn
100,which
101,these
102,didn't
103,was
104,weren't
105,isn
106,*
107,weren
108,{
109,=
110,you'll
111,;
112,into
113,your
114,you
115,wouldn't
116,have
117,d
118,why
119,needn't
120,ours
121,you're
122,its
123,>
124,when
125,what
126,before
127,doesn't
128,","
129,hey
130,an
131,there
132,haven't
133,myself
134,but
135,because
136,ma
137,shan
138,herself
139,can
140,she's
141,under
142,during
143,hadn't
144,just
145,this
146,above
147,^
148,t
149,you'd
150,out
151,with
152,no
153,to
154,between
155,had
156,or
157,o
158,ain
159,couldn't
160,isn't
161,am
162,wasn
163,\
164,hi
165,you've
166,mustn
167,the
168,couldn
169,(
170,as
171,`
172,hasn't
173,has
174,mightn't
175,further
176,don't
177,s
178,won
179,by
180,did
181,theirs
182,aren't
183,against
184,all
185,at
186,her
187,%
188,$
189,]
190,who
191,/
192,below
193,down
194,do
195,then
196,my
197,after
198,be
199,didn
200,very
201,themselves
202,?
203,here
204,himself
205,doesn
206,}
207,yours
208,it
209,each
210,-
211,for
212,don
213,once
